Player,From,To,Pos,Ht,Wt,Birth Date,College
Dewayne Dedmon\dedmode01,2014,2017,C,213,245,August 12 1989,University of Southern California
Don Dee\deedo01,1969,1969,F,203,210,August 9 1943,Saint Mary of the Plains College
Archie Dees\deesar01,1959,1962,F-C,203,205,February 22 1936,Indiana University
Terry Dehere\deherte01,1994,1999,G,187,190,September 12 1971,Seton Hall University
Red Dehnert\dehnere01,1947,1947,F,190,175,January 24 1924,Columbia University
Bryce Dejean-Jones\dejeabr01,2016,2016,G,198,209,August 21 1992,Iowa State University
Sam Dekker\dekkesa01,2016,2017,F,205,230,May 6 1994,University of Wisconsin
Vinny Del Negro\delnevi01,1989,2002,G,193,185,August 9 1966,North Carolina State University
Malcolm Delaney\delanma01,2017,2017,G,190,190,March 11 1989,Virginia Polytechnic Institute and State University
Bison Dele\delebi01,1992,1999,F-C,205,235,April 6 1969,University of Arizona
Carlos Delfino\delfica01,2005,2013,G,198,230,August 29 1982,
Tony Delk\delkto01,1997,2006,G,185,189,January 28 1974,University of Kentucky
Matthew Dellavedova\dellama01,2014,2017,G,193,198,September 8 1990,Saint Mary's College of California
Nate DeLong\delonna01,1952,1952,C,198,220,January 5 1926,University of Wisconsin-River Falls
Fennis Dembo\dembofe01,1989,1989,F,195,215,January 24 1966,University of Wyoming
Larry Demic\demicla01,1980,1982,F-C,205,225,June 27 1957,University of Arizona
Dell Demps\dempsde01,1994,1997,G,190,205,February 12 1970,University of the Pacific
George Dempsey\dempsge01,1955,1959,G,187,190,July 19 1929,King's College
Luol Deng\denglu01,2005,2017,F,205,220,April 16 1985,Duke University
Kenny Dennard\dennake01,1982,1984,F,203,220,October 18 1958,Duke University
Blaine Denning\dennibl01,1953,1953,G,187,175,September 19 1930,Lawrence Technological University
Justin Dentmon\dentmju01,2012,2013,G,180,185,September 5 1985,University of Washington
Randy Denton\dentora01,1972,1977,C,208,240,February 18 1949,Duke University
Joe DePre\deprejo01,1971,1973,G,190,185,December 19 1947,St. John's University
Rod Derline\derliro01,1975,1976,G,182,175,March 11 1952,Seattle University
DeMar DeRozan\derozde01,2010,2017,G,200,221,August 7 1989,University of Southern California
Dave Deutsch\deutsda01,1967,1967,G,185,170,May 13 1945,University of Rochester
Corky Devlin\devlico01,1956,1958,G,195,195,December 21 1931,George Washington University
Hank DeZonie\dezonha01,1951,1951,C-F,198,215,February 12 1922,Clark Atlanta University
Derrick Dial\dialde01,2000,2004,G,193,184,December 20 1975,Eastern Michigan University
Cheick Diallo\diallch01,2017,2017,F,205,220,September 13 1996,University of Kansas
Boris Diaw\diawbo01,2004,2017,F-C,203,250,April 16 1982,
Yakhouba Diawara\diawaya01,2007,2010,G-F,200,225,August 29 1982,Pepperdine University
Guillermo Diaz\diazgu01,2008,2008,G,187,192,March 4 1985,University of Miami
Dan Dickau\dickada01,2003,2008,G,182,190,September 16 1978,Gonzaga University
Kaniel Dickens\dickeka01,2004,2008,F,203,215,July 21 1978,University of Idaho
Henry Dickerson\dickehe01,1976,1977,G,193,190,November 27 1951,University of Charleston
Michael Dickerson\dickemi01,1999,2003,G-F,195,190,June 25 1975,University of Arizona
Clyde Dickey\dickecl01,1975,1975,G,190,185,December 14 1951,Boise State University
Derrek Dickey\dickede01,1974,1978,F,200,218,March 20 1951,University of Cincinnati
Dick Dickey\dickedi01,1952,1952,G,185,175,October 26 1926,North Carolina State University
John Dickson\dicksjo01,1968,1968,C,208,240,November 18 1945,Arkansas State University
Travis Diener\dienetr01,2006,2010,G,185,175,March 1 1982,Marquette University
Gorgui Dieng\dienggo01,2014,2017,C,210,241,January 18 1990,University of Louisville
Connie Dierking\dierkco01,1959,1971,C-F,205,222,October 2 1936,University of Cincinnati
Coby Dietrick\dietrco01,1971,1983,C-F,208,220,July 23 1948,San Jose State University
Ernie DiGregorio\digreer01,1974,1978,G,182,180,January 15 1951,Providence College
Craig Dill\dillcr01,1968,1968,C,210,215,December 17 1944,University of Michigan
Dwaine Dillard\dilladw01,1976,1976,F,198,230,March 9 1949,Eastern Michigan University
Mickey Dillard\dillami01,1982,1982,G,190,170,October 15 1958,Florida State University
Bob Dille\dillebo01,1947,1947,F,190,190,July 2 1917,Valparaiso University
Hook Dillon\dilloho01,1950,1950,F,190,180,January 8 1924,University of North Carolina
Byron Dinkins\dinkiby01,1990,1991,G,185,170,June 15 1967,University of North Carolina at Charlotte
Jackie Dinkins\dinkija01,1972,1972,F,195,210,January 22 1950,Voorhees College
Harry Dinnel\dinneha01,1968,1968,F-G,193,200,,Pepperdine University
Bill Dinwiddie\dinwibi01,1968,1972,F,200,220,July 15 1943,New Mexico Highlands University
Spencer Dinwiddie\dinwisp01,2015,2017,G,198,200,April 6 1993,University of Colorado
Ike Diogu\dioguik01,2006,2012,F,203,250,September 11 1983,Arizona State University
DeSagana Diop\diopde01,2002,2013,C,213,300,January 30 1982,
Terry Dischinger\dischte01,1963,1973,F-G,200,189,November 21 1940,Purdue University
Fred Diute\diutefr01,1955,1955,G,190,210,January 9 1929,St. Bonaventure University
Vlade Divac\divacvl01,1990,2005,C,215,243,February 3 1968,
Juan Dixon\dixonju01,2003,2009,G,190,164,October 9 1978,University of Maryland
Aleksandar Djordjevic\djordal01,1997,1997,G,187,198,August 26 1967,
Earl Dodd\doddea01,1950,1950,F,195,175,November 1 1924,Truman State University
Michael Doleac\doleami01,1999,2008,C,210,262,June 15 1977,University of Utah
Joe Dolhon\dolhojo01,1950,1951,G,182,175,July 9 1927,New York University
Bob Doll\dollbo01,1947,1950,F-C,195,195,August 10 1919,University of Colorado
James Donaldson\donalja01,1981,1995,C,218,275,August 16 1957,Washington State University
Bob Donham\donhabo01,1951,1954,G-F,187,190,October 11 1926,Ohio State University
Billy Donovan\donovbi01,1988,1988,G,180,171,May 30 1965,Providence College
Harry Donovan\donovha01,1950,1950,G,187,180,September 10 1926,Muhlenberg College
Keyon Dooling\doolike01,2001,2013,G,190,196,May 8 1980,University of Missouri
Jacky Dorsey\dorseja01,1978,1981,F,200,230,December 18 1954,University of Georgia
Joey Dorsey\dorsejo01,2009,2015,F,203,268,December 16 1983,University of Memphis
Ron Dorsey\dorsero01,1972,1972,F,193,200,October 10 1948,Tennessee State University
Quincy Douby\doubyqu01,2007,2009,G,190,175,May 16 1984,Rutgers University
Bruce Douglas\douglbr01,1987,1987,G,190,195,April 9 1964,University of Illinois at Urbana-Champaign
John Douglas\dougljo01,1982,1983,G,187,170,June 12 1956,University of Kansas
Leon Douglas\douglle01,1977,1983,C-F,208,230,August 26 1954,University of Alabama
Sherman Douglas\douglsh01,1990,2001,G,182,180,September 15 1966,Syracuse University
Toney Douglas\douglto01,2010,2017,G,187,195,March 16 1986,Florida State University
Chris Douglas-Roberts\douglch01,2009,2015,G,200,200,January 8 1987,University of Memphis
Sonny Dove\doveso01,1968,1972,F,200,198,August 16 1945,St. John's University
Jerry Dover\doverje01,1972,1972,G,170,155,October 16 1949,LeMoyne-Owen College
Zabian Dowdell\dowdeza01,2011,2011,G,190,191,September 10 1984,Virginia Polytechnic Institute and State University
Bill Downey\downebi01,1948,1948,C,198,210,November 11 1923,Marquette University
Steve Downing\downist01,1974,1975,C,203,225,September 9 1950,Indiana University
Danny Doyle\doyleda01,1963,1963,F,203,200,February 6 1940,Belmont Abbey College
Terry Dozier\doziete01,1990,1990,F,205,210,June 29 1966,University of South Carolina
Goran Dragic\dragigo01,2009,2017,G,190,190,May 6 1986,
Zoran Dragic\dragizo01,2015,2015,G-F,195,200,June 22 1989,
Greg Dreiling\dreilgr01,1987,1997,C,215,250,November 7 1962,University of Kansas
Bryce Drew\drewbr01,1999,2004,G,187,185,September 21 1974,Valparaiso University
John Drew\drewjo01,1975,1985,F-G,198,205,September 30 1954,Gardner-Webb University
Larry Drew\drewla01,1981,1991,G,185,170,April 2 1958,University of Missouri
Larry Drew\drewla02,2015,2015,G,187,180,March 5 1990,University of California Los Angeles
Clyde Drexler*\drexlcl01,1984,1998,G,200,210,June 22 1962,University of Houston
Nate Driggers\driggna01,1997,1997,G,195,215,October 12 1973,University of Montevallo
Terry Driscoll\driscte01,1971,1975,F,200,215,August 28 1947,Boston College
Predrag Drobnjak\drobnpr01,2002,2005,C,210,270,October 27 1975,
Ralph Drollinger\drollra01,1981,1981,C,218,250,April 20 1954,University of California Los Angeles
Andre Drummond\drumman01,2013,2017,C,210,279,August 10 1993,University of Connecticut
Dick Duckett\duckedi01,1958,1958,G,185,185,March 25 1933,St. John's University
Kevin Duckworth\duckwke01,1987,1997,C,213,275,April 1 1964,Eastern Illinois University
Charles Dudley\dudlech01,1973,1979,G,187,180,March 5 1950,University of Washington
Chris Dudley\dudlech02,1988,2003,C,210,235,February 22 1965,Yale University
Jared Dudley\dudleja01,2008,2017,F-G,200,225,July 10 1985,Boston College
Terry Duerod\duerote01,1980,1983,G,187,180,July 29 1956,University of Detroit Mercy
Bob Duffy\duffybo01,1947,1947,F,193,175,July 5 1922,Tulane University
Bob Duffy\duffybo02,1963,1965,G,190,185,September 26 1940,Colgate University
Chris Duhon\duhonch01,2005,2013,G,185,185,August 31 1982,Duke University
Duje Dukan\dukandu01,2016,2016,F,205,220,December 4 1991,University of Wisconsin
Walter Dukes\dukeswa01,1956,1963,C,213,220,June 23 1930,Seton Hall University
Joe Dumars*\dumarjo01,1986,1999,G,190,190,May 24 1963,McNeese State University
Rich Dumas\dumasri01,1969,1969,G,190,170,,Northeastern State University
Richard Dumas\dumasri02,1993,1996,F,200,200,May 19 1969,Oklahoma State University
Tony Dumas\dumasto01,1995,1998,G,198,190,August 25 1972,University of Missouri-Kansas City
Andy Duncan\duncaan01,1949,1951,F-C,198,195,April 17 1922,College of William & Mary
Tim Duncan\duncati01,1998,2016,F-C,210,250,April 25 1976,Wake Forest University
Mike Dunleavy\dunlemi01,1977,1990,G,190,180,March 21 1954,University of South Carolina
Mike Dunleavy\dunlemi02,2003,2017,F-G,205,230,September 15 1980,Duke University
Kris Dunn\dunnkr01,2017,2017,G,193,210,March 18 1994,Providence College
Pat Dunn\dunnpa01,1958,1958,G,187,170,March 17 1931,Utah State University
T.R. Dunn\dunntr01,1978,1991,G-F,193,192,February 1 1955,University of Alabama
Ronald Dupree\duprero01,2004,2011,F,200,209,January 26 1981,Louisiana State University
Kevin Durant\duranke01,2008,2017,F-G,205,240,September 29 1988,University of Texas at Austin
John Duren\durenjo01,1981,1983,G,190,195,October 30 1958,Georgetown University
Jarrett Durham\durhaja01,1972,1972,F,195,188,August 22 1949,Duquesne University
Pat Durham\durhapa01,1993,1995,F,200,210,March 10 1967,Colorado State University
Devin Durrant\durrade01,1985,1986,F,200,200,October 20 1960,Brigham Young University
Ken Durrett\durreke01,1972,1975,F,200,190,December 8 1948,La Salle University
Dennis DuVal\duvalde01,1975,1976,G,190,175,March 31 1952,Syracuse University
Jack Dwan\dwanja01,1949,1949,F-G,193,200,May 3 1921,Loyola University of Chicago
Craig Dykema\dykemcr01,1982,1982,F,203,190,June 11 1959,California State University Long Beach
Gene Dyker\dykerge01,1954,1954,F,198,225,February 17 1930,DePaul University
Jerome Dyson\dysonje01,2012,2012,G,190,180,May 1 1987,University of Connecticut
Ledell Eackles\eacklle01,1989,1998,G-F,195,220,November 24 1966,University of New Orleans
Jim Eakins\eakinji01,1969,1978,C,210,215,May 24 1946,Brigham Young University
Acie Earl\earlac01,1994,1997,F-C,208,240,June 23 1970,University of Iowa
Ed Earle\earleed01,1954,1954,F,190,190,April 28 1927,Loyola University of Chicago
Cleanthony Early\earlycl01,2015,2016,F,203,210,April 17 1991,Wichita State University
Penny Early\earlype01,1969,1969,G,160,114,May 30 1943,
Mark Eaton\eatonma01,1983,1993,C,223,275,January 24 1957,University of California Los Angeles
Jerry Eaves\eavesje01,1983,1987,G,193,180,February 8 1959,University of Louisville
Devin Ebanks\ebankde01,2011,2013,F,205,215,October 28 1989,West Virginia University
Bill Ebben\ebbenbi01,1958,1958,G,193,190,October 7 1935,University of Detroit Mercy
Al Eberhard\eberhal01,1975,1978,F,198,225,May 10 1952,University of Missouri
Ndudi Ebi\ebind01,2004,2005,F,205,200,June 18 1984,
Roy Ebron\ebronro01,1974,1974,C,205,220,August 31 1951,University of Louisiana at Lafayette
Jarell Eddie\eddieja01,2016,2017,G-F,200,218,October 30 1991,Virginia Polytechnic Institute and State University
Patrick Eddie\eddiepa01,1992,1992,C,210,240,December 27 1967,University of Mississippi
Dike Eddleman\eddledi01,1950,1953,F-G,190,189,December 27 1922,University of Illinois at Urbana-Champaign
Kenton Edelin\edelike01,1985,1985,F,203,205,May 24 1962,University of Virginia
Charles Edge\edgech01,1974,1975,F,198,210,February 23 1950,LeMoyne-Owen College
Bobby Edmonds\edmonbo01,1968,1970,F,198,220,March 8 1941,Tennessee State University
Keith Edmonson\edmonke01,1983,1984,G,195,195,September 28 1960,Purdue University
Tyus Edney\edneyty01,1996,2001,G,177,152,February 14 1973,University of California Los Angeles
Bill Edwards\edwarbi01,1994,1994,F,203,215,September 22 1971,Wright State University
Blue Edwards\edwarbl01,1990,1999,G-F,193,200,October 31 1965,East Carolina University
Corsley Edwards\edwarco01,2005,2005,F,205,275,March 5 1979,Central Connecticut State University
Doug Edwards\edwardo01,1994,1996,F,200,220,January 21 1971,Florida State University
Franklin Edwards\edwarfr01,1982,1988,G,185,170,February 2 1959,Cleveland State University
James Edwards\edwarja01,1978,1996,C-F,213,225,November 22 1955,University of Washington
Jay Edwards\edwarja02,1990,1990,G,193,185,January 3 1969,Indiana University
John Edwards\edwarjo01,2005,2006,C,213,275,July 31 1981,Kent State University
Kevin Edwards\edwarke01,1989,2001,G,190,190,October 30 1965,DePaul University
Shane Edwards\edwarsh01,2014,2014,F,200,220,May 31 1987,University of Arkansas at Little Rock
Johnny Egan\eganjo01,1962,1972,G,180,180,January 31 1939,Providence College
Lonnie Eggleston\egglelo01,1949,1949,G,182,170,June 8 1918,Oklahoma State University
Bulbs Ehlers\ehlerbu01,1948,1949,F-G,190,198,March 10 1923,Purdue University
Craig Ehlo\ehlocr01,1984,1997,G-F,198,180,August 11 1961,Washington State University
Rich Eichhorst\eichhdi01,1962,1962,G,190,200,October 21 1933,Southeast Missouri State University
Howard Eisley\eisleho01,1995,2006,G,187,177,December 4 1972,Boston College
Obinna Ekezie\ekeziob01,2000,2005,F-C,205,270,August 22 1975,University of Maryland
Khalid El-Amin\elamikh01,2001,2001,G,177,200,April 25 1979,University of Connecticut
Don Eliason\eliasdo01,1947,1947,F,187,210,July 24 1918,Hamline University
Mario Elie\eliema01,1991,2001,G-F,195,210,November 26 1963,American International College
Ray Ellefson\ellefra01,1949,1951,C,203,230,November 18 1922,West Texas A&M University
Henry Ellenson\ellenhe01,2017,2017,F,210,245,January 13 1997,Marquette University
Wayne Ellington\ellinwa01,2010,2017,G,193,200,October 29 1987,University of North Carolina
Bob Elliott\elliobo01,1979,1981,C-F,205,225,August 18 1955,University of Arizona
Sean Elliott\elliose01,1990,2001,F,203,205,February 2 1968,University of Arizona
Bo Ellis\ellisbo02,1978,1980,F,205,197,August 8 1954,Marquette University
Boo Ellis\ellisbo01,1959,1960,F,195,185,February 11 1936,Niagara University
Dale Ellis\ellisda01,1984,2000,G-F,200,205,August 6 1960,University of Tennessee
Harold Ellis\ellisha01,1994,1998,G,195,200,October 7 1970,Morehouse College
Joe Ellis\ellisjo01,1967,1974,F-G,198,175,May 3 1944,University of San Francisco
LaPhonso Ellis\ellisla01,1993,2003,F,203,240,May 5 1970,University of Notre Dame
LeRon Ellis\ellisle02,1992,1996,F-C,205,225,April 28 1969,Syracuse University
Leroy Ellis\ellisle01,1963,1976,C-F,208,210,March 10 1940,St. John's University
Monta Ellis\ellismo01,2006,2017,G,190,185,October 26 1985,
Pervis Ellison\ellispe01,1990,2001,F-C,205,210,April 3 1967,University of Louisville
Len Elmore\elmorle01,1975,1984,C-F,205,220,March 28 1952,University of Maryland
Francisco Elson\elsonfr01,2004,2012,C,213,235,February 28 1976,University of California
Darrell Elston\elstoda01,1975,1977,G,193,190,August 15 1952,University of North Carolina
Melvin Ely\elyme01,2003,2014,C,208,260,May 2 1978,California State University Fresno
Joel Embiid\embiijo01,2017,2017,C-F,213,250,March 16 1994,University of Kansas
Wayne Embry*\embrywa01,1959,1969,C-F,203,240,March 26 1937,Miami University
Andre Emmett\emmetan01,2005,2012,F,195,230,August 27 1982,Texas Tech University
Ned Endress\endrene01,1947,1947,F-G,187,200,March 2 1918,University of Akron
Chris Engler\englech01,1983,1988,C,210,245,March 1 1959,University of Wyoming
Wayne Englestad\englewa01,1989,1989,F,203,245,December 6 1966,University of California Irvine
A.J. English\engliaj01,1991,1992,G,190,175,July 11 1967,Virginia Union University
Alex English*\englial01,1977,1991,F,200,190,January 5 1954,University of South Carolina
Claude English\englicl01,1971,1971,F,193,185,December 26 1946,University of Rhode Island
Jo Jo English\englijo01,1993,1995,G,193,195,February 4 1970,University of South Carolina
Kim English\engliki01,2013,2013,G,198,200,September 24 1988,University of Missouri
Scott English\englisc01,1973,1975,F,198,205,October 20 1950,University of Texas at El Paso
Gene Englund\engluge01,1950,1950,F-C,195,205,October 21 1917,University of Wisconsin
James Ennis\ennisja01,2015,2017,F,200,210,July 1 1990,California State University Long Beach
Tyler Ennis\ennisty01,2015,2017,G,190,194,August 24 1994,Syracuse University
Ray Epps\eppsra01,1979,1979,F,198,195,August 20 1956,Norfolk State University
Semih Erden\erdense01,2011,2012,C,213,240,July 28 1986,
Bo Erias\eriasbo01,1958,1958,F,190,220,July 30 1932,Niagara University
Keith Erickson\erickke01,1966,1977,F-G,195,195,April 19 1944,University of California Los Angeles
Julius Erving*\ervinju01,1972,1987,F-G,200,210,February 22 1950,University of Massachusetts Amherst
Evan Eschmeyer\eschmev01,2000,2003,C,210,255,May 30 1975,Northwestern University
Jack Eskridge\eskrija01,1949,1949,C-F,195,200,January 21 1924,University of Kansas
Vincenzo Esposito\esposvi01,1996,1996,G,190,198,January 3 1969,
Billy Evans\evansbi01,1970,1970,G,182,170,March 3 1947,Boston College
Bob Evans\evansbo01,1950,1950,G,187,175,May 31 1925,Butler University
Brian Evans\evansbr01,1997,1999,F,203,220,September 13 1973,Indiana University
Earl Evans\evansea01,1980,1980,F,203,202,November 11 1955,University of Nevada Las Vegas
Jeremy Evans\evansje01,2011,2016,F,205,200,October 24 1987,Western Kentucky University
Maurice Evans\evansma01,2002,2012,G,195,220,November 8 1978,University of Texas at Austin
Mike Evans\evansmi01,1980,1988,G,185,170,April 19 1955,Kansas State University
Reggie Evans\evansre01,2003,2015,F,203,245,May 18 1980,University of Iowa
Tyreke Evans\evansty01,2010,2017,G-F,198,220,September 19 1989,University of Memphis
Daniel Ewing\ewingda01,2006,2007,G,190,185,March 26 1983,Duke University
Patrick Ewing*\ewingpa01,1986,2002,C-F,213,240,August 5 1962,Georgetown University
Patrick Ewing\ewingpa02,2011,2011,F,203,235,May 20 1984,Georgetown University
Dante Exum\exumda01,2015,2017,G,198,190,July 13 1995,
Christian Eyenga\eyengch01,2011,2012,F,195,210,June 22 1989,
Festus Ezeli\ezelife01,2013,2016,C,210,255,October 21 1989,Vanderbilt University
Johnny Ezersky\ezersjo01,1948,1950,F-G,190,175,March 21 1922,University of Rhode Island
Joe Fabel\fabeljo01,1947,1947,F-G,185,190,September 4 1913,University of Pittsburgh
John Fairchild\faircjo01,1966,1970,F,203,205,April 28 1943,Brigham Young University
Phil Farbman\farbmph01,1949,1949,F,185,185,April 3 1924,City College of New York
Kenneth Faried\farieke01,2012,2017,F,203,228,November 19 1989,Morehead State University
Dick Farley\farledi01,1955,1959,G-F,193,190,April 13 1932,Indiana University
Jordan Farmar\farmajo01,2007,2017,G,187,180,November 30 1986,University of California Los Angeles
Desmon Farmer\farmede01,2007,2009,G,195,220,October 7 1981,University of Southern California
Jim Farmer\farmeji01,1988,1994,G,193,190,September 23 1964,University of Alabama
Mike Farmer\farmemi01,1959,1966,F,200,210,September 26 1936,University of San Francisco
Tony Farmer\farmeto01,1998,2000,F,205,244,January 3 1970,University of Nebraska
Bob Faught\faughbo01,1947,1947,F,195,185,September 2 1921,University of Notre Dame
Vitor Faverani\favervi01,2014,2014,C,210,260,May 5 1988,
Derrick Favors\favorde01,2011,2017,F-C,208,265,July 15 1991,Georgia Institute of Technology
Nick Fazekas\fazekni01,2008,2008,F,210,235,June 17 1985,University of Nevada Reno
Dave Fedor\fedorda01,1963,1963,F,198,190,December 10 1940,Florida State University
Bob Feerick\feeribo01,1947,1950,F-G,190,190,January 2 1920,Santa Clara University
Butch Feher\feherbu01,1977,1977,G,193,185,May 19 1954,Vanderbilt University
Jamie Feick\feickja01,1997,2001,C,205,255,July 3 1974,Michigan State University
Ron Feiereisel\feierro01,1956,1956,G,190,185,August 6 1931,DePaul University
George Feigenbaum\feigege01,1950,1953,G,185,185,July 2 1929,University of Kentucky
Dave Feitl\feitlda01,1987,1992,C,210,235,June 8 1962,University of Texas at El Paso
Kay Felder\feldeka01,2017,2017,G,175,176,March 29 1995,Oakland University
Cristiano Felicio\feliccr01,2016,2017,F-C,208,275,July 7 1992,
Carrick Felix\felixca01,2014,2014,G,198,201,August 17 1990,Arizona State University
Noel Felix\felixno01,2006,2006,F,205,225,October 4 1981,California State University Fresno
Ray Felix\felixra01,1954,1962,C,210,220,December 10 1930,Long Island University
Raymond Felton\feltora01,2006,2017,G,185,205,June 26 1984,University of North Carolina
Jake Fendley\fendlja01,1952,1953,G,182,180,June 12 1929,Northwestern University
Warren Fenley\fenlewa01,1947,1947,F,190,190,February 8 1922,Manhattan College
Desmond Ferguson\fergude01,2004,2004,G-F,200,203,July 22 1977,University of Detroit Mercy
Rudy Fernandez\fernaru01,2009,2012,G,198,185,April 4 1985,
Eric Fernsten\fernser01,1976,1984,C-F,208,205,November 1 1953,University of San Francisco
Al Ferrari\ferraal01,1956,1963,G-F,193,190,July 6 1933,Michigan State University
Rolando Ferreira\ferrero01,1989,1989,C,215,240,May 24 1964,University of Houston
Duane Ferrell\ferredu01,1989,1999,F-G,200,209,February 28 1965,Georgia Institute of Technology
Yogi Ferrell\ferreyo01,2017,2017,G,182,180,May 9 1993,Indiana University
Arnie Ferrin\ferriar01,1949,1951,F-G,187,180,July 29 1925,University of Utah
Bob Ferry\ferrybo01,1960,1969,C-F,203,230,May 31 1937,Saint Louis University
Danny Ferry\ferryda01,1991,2003,F,208,230,October 17 1966,Duke University
Kyrylo Fesenko\fesenky01,2008,2012,C,215,288,December 24 1986,
Bobby Fields\fieldbo01,1972,1972,G,190,175,October 20 1949,La Salle University
Kenny Fields\fieldke01,1985,1988,F-G,195,220,February 9 1962,University of California Los Angeles
Landry Fields\fieldla01,2011,2015,F,200,210,June 27 1988,Stanford University
Ron Filipek\filipro01,1968,1968,F,195,205,February 5 1944,Tennessee Technological University
Greg Fillmore\fillmgr01,1971,1972,C,215,240,March 7 1947,Cheyney University of Pennsylvania
Larry Finch\finchla01,1974,1975,G,187,185,February 16 1951,University of Memphis
Hank Finkel\finkeha01,1967,1975,C,213,240,April 20 1942,University of Dayton
Michael Finley\finlemi01,1996,2010,G-F,200,215,March 6 1973,University of Wisconsin
Danny Finn\finnda01,1953,1955,G,185,185,May 29 1928,St. John's University
Dorian Finney-Smith\finnedo01,2017,2017,F,203,220,May 4 1993,University of Florida
Matt Fish\fishma01,1995,1997,C,210,235,November 18 1969,University of North Carolina at Wilmington
Derek Fisher\fishede01,1997,2014,G,185,200,August 9 1974,University of Arkansas at Little Rock
Richard Fisher\fisheri01,1972,1972,F,195,215,October 27 1948,Colorado State University
Gerald Fitch\fitchge01,2006,2006,G,190,188,August 12 1982,University of Kentucky
Bob Fitzgerald\fitzgbo01,1947,1949,F-C,195,190,March 14 1923,Seton Hall University
Dick Fitzgerald\fitzgdi01,1947,1948,F,187,175,November 18 1920,Fordham University
Marcus Fizer\fizerma01,2001,2006,F,205,262,August 10 1978,Iowa State University
Jerry Fleishman\fleisje01,1947,1953,G-F,187,190,February 14 1922,New York University
Al Fleming\flemial01,1978,1978,F,200,215,April 5 1954,University of Arizona
Ed Fleming\flemied01,1956,1960,G-F,190,189,July 25 1933,Niagara University
Vern Fleming\flemive01,1985,1996,G,195,185,February 4 1962,University of Georgia
Luis Flores\florelu01,2005,2005,G,187,200,April 11 1981,Manhattan College
Bruce Flowers\flowebr01,1983,1983,F,203,225,June 13 1957,University of Notre Dame
Sleepy Floyd\floydsl01,1983,1995,G,190,170,March 6 1960,Georgetown University
Jonny Flynn\flynnjo01,2010,2012,G,182,185,February 6 1989,Syracuse University
Mike Flynn\flynnmi01,1976,1978,G,187,180,July 31 1953,University of Kentucky
Larry Fogle\foglela01,1976,1976,G,195,205,March 19 1953,Canisius College
Jack Foley\foleyja01,1963,1963,F,190,170,April 19 1939,College of the Holy Cross
Isaac Fontaine\fontais01,2002,2002,G,193,210,April 16 1975,Washington State University
Levi Fontaine\fontale01,1971,1971,G,193,190,November 1 1948,University of Maryland Eastern Shore
Jeff Foote\footeje01,2012,2012,C,213,265,July 14 1987,Cornell University
Bryn Forbes\forbebr01,2017,2017,G,190,190,July 23 1993,Michigan State University
Gary Forbes\forbega01,2011,2012,F,200,220,February 25 1985,University of Massachusetts Amherst
Alphonso Ford\fordal01,1994,1995,G,185,190,October 31 1971,Mississippi Valley State University
Alton Ford\fordal02,2002,2004,F,205,275,May 29 1981,University of Houston
Bob Ford\fordbo01,1973,1973,F,200,228,January 26 1950,Purdue University
Chris Ford\fordch01,1973,1982,G-F,195,190,January 11 1949,Villanova University
Don Ford\forddo01,1976,1982,F,205,215,December 31 1952,University of California Santa Barbara
Jake Ford\fordja01,1971,1972,G,190,180,April 29 1946,University of Maryland Eastern Shore
Phil Ford\fordph01,1979,1985,G,187,175,February 9 1956,University of North Carolina
Sharrod Ford\fordsh02,2006,2006,F,205,225,January 9 1982,Clemson University
Sherell Ford\fordsh01,1996,1996,F,200,210,August 26 1972,University of Illinois at Chicago
T.J. Ford\fordtj01,2004,2012,G,182,165,March 24 1983,University of Texas at Austin
Donnie Forman\formado01,1949,1949,G,177,175,January 17 1926,New York University
Bayard Forrest\forreba01,1978,1979,C,208,235,July 8 1954,Grand Canyon University
Joseph Forte\fortejo01,2002,2003,G,193,194,March 23 1981,University of North Carolina
Courtney Fortson\fortsco01,2012,2012,G,180,185,May 23 1988,University of Arkansas
Danny Fortson\fortsda01,1998,2007,F,200,260,March 27 1976,University of Cincinnati
Fred Foster\fostefr01,1969,1977,F,195,210,March 18 1946,Miami University
Greg Foster\fostegr01,1991,2003,F-C,210,240,October 3 1968,University of Texas at El Paso
Jeff Foster\fosteje01,2000,2012,F-C,210,236,January 16 1977,Texas State University
Jimmy Foster\fosteja01,1975,1976,G,185,175,December 16 1951,University of Connecticut
Rod Foster\fostero01,1984,1986,G,185,160,October 10 1960,University of California Los Angeles
Antonis Fotsis\fotsian01,2002,2002,F,208,219,April 1 1981,
Evan Fournier\fournev01,2013,2017,G-F,200,205,October 29 1992,
Larry Foust\foustla01,1951,1962,C-F,205,215,June 24 1928,La Salle University
Calvin Fowler\fowleca01,1970,1970,G,182,175,February 11 1940,Saint Francis University
Jerry Fowler\fowleje01,1952,1952,C,203,230,June 20 1927,University of Missouri
Tremaine Fowlkes\fowlktr01,2002,2005,F,203,220,April 11 1976,California State University Fresno
Harold Fox\foxha01,1973,1973,G,187,175,August 29 1949,Jacksonville University
Jim Fox\foxji01,1968,1977,C-F,208,230,April 7 1943,University of South Carolina
Rick Fox\foxri01,1992,2004,F-G,200,230,July 24 1969,University of North Carolina
Randy Foye\foyera01,2007,2017,G,193,213,September 24 1983,Villanova University
Adonal Foyle\foylead01,1998,2009,C,208,250,March 9 1975,Colgate University
